,bigram,count,phrase_array,category_arrays
237,"('complete', 'description')",77,complete description,['Competitive Bidding Violation']
238,"('met', 'frn')",77,met frn,['No signed contract in place']
239,"('description', 'services')",77,description services,['Competitive Bidding Violation']
240,"('posted', 'competing')",77,posted competing,['Competitive Bidding Violation']
241,"('seek', 'may')",77,seek may,['Competitive Bidding Violation']
242,"('may', 'posted')",77,may posted,['Competitive Bidding Violation']
243,"('requirement', 'met')",77,requirement met,['No signed contract in place']
244,"('applicant’s', 'fcc')",77,applicant’s fcc,[]
245,"('support', 'services')",76,support services,"['Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
246,"('review', 'member')",76,review member,['Applicant ineligible']
247,"('applicants', 'required')",75,applicants required,['Competitive Bidding Violation']
248,"('based', 'review')",74,based review,['Applicant ineligible']
249,"('since', 'meet')",74,since meet,"['470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor']"
250,"('ysleta', 'order')",74,ysleta order,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
251,"('dr1', 'per')",74,dr1 per,['Ineligible Service']
252,"('471', 'certification')",74,471 certification,"['Competitive Bidding Violation', 'No signed contract in place', 'Missing documentation to determin competitive bidding']"
253,"('winning', 'bid')",74,winning bid,['Competitive Bidding Violation']
254,"('schools', 'receive')",73,schools receive,['Applicant ineligible']
255,"('secondary', 'schools')",73,secondary schools,['Applicant ineligible']
256,"('years', 'ago')",73,years ago,['Competitive Bidding Violation']
257,"('potential', 'providers')",73,potential providers,['Competitive Bidding Violation']
258,"('bids', 'fcc')",73,bids fcc,['Competitive Bidding Violation']
259,"('met', 'requirement')",73,met requirement,['Competitive Bidding Violation']
260,"('definition', 'elementary')",73,definition elementary,['Applicant ineligible']
261,"('dr1', 'documentation')",73,dr1 documentation,"['Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'Competitive Bidding Violation - 28 day failure']"
262,"('elementary', 'secondary')",73,elementary secondary,['Applicant ineligible']
263,"('statutory', 'definition')",73,statutory definition,['Applicant ineligible']
264,"('meet', 'statutory')",73,meet statutory,['Applicant ineligible']
265,"('services', 'order')",72,services order,['Competitive Bidding Violation']
266,"('services', 'required')",72,services required,['Competitive Bidding Violation']
267,"('detail', 'specific')",72,detail specific,['Competitive Bidding Violation']
268,"('violated', 'fcc’s')",72,violated fcc’s,[]
269,"('accountability', 'part')",72,accountability part,['Competitive Bidding Violation']
270,"('accurate', 'proposal')",72,accurate proposal,['Competitive Bidding Violation']
271,"('accurate', 'valid')",72,accurate valid,['Competitive Bidding Violation']
272,"('services', 'sought')",72,services sought,['Competitive Bidding Violation']
273,"('ago', 'changes')",72,ago changes,['Competitive Bidding Violation']
274,"('“', '1')",72,“ 1,[]
275,"('160029101', 'failed')",72,160029101 failed,['Competitive Bidding Violation']
276,"('determined', 'violated')",72,determined violated,['Competitive Bidding Violation']
277,"('“intended', 'require')",72,“intended require,[]
278,"('services', 'occurred')",72,services occurred,['Competitive Bidding Violation']
279,"('service', 'order')",72,service order,['Competitive Bidding Violation']
280,"('elaborated', 'meaning')",72,elaborated meaning,['Competitive Bidding Violation']
281,"('effectively', 'discounted')",72,effectively discounted,['Competitive Bidding Violation']
282,"('”', 'therefore')",72,” therefore,[]
283,"('”', 'however')",72,” however,[]
284,"('dr2', 'frn')",72,dr2 frn,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation']"
285,"('necessary', 'use')",72,necessary use,['Competitive Bidding Violation']
286,"('service', 'potential')",72,service potential,['Competitive Bidding Violation']
287,"('“bona', 'fide”')",72,“bona fide”,[]
288,"('services', 'bidders')",72,services bidders,['Competitive Bidding Violation']
289,"('services', 'current')",72,services current,['Competitive Bidding Violation']
290,"('“was', 'created')",72,“was created,[]
291,"('services', 'mtm')",72,services mtm,['Competitive Bidding Violation']
292,"('document', 'included')",72,document included,['Competitive Bidding Violation']
293,"('discounted', 'services')",72,discounted services,['Competitive Bidding Violation']
294,"('160029101', '“was')",72,160029101 “was,[]
295,"('stated', 'congress')",72,stated congress,['Competitive Bidding Violation']
296,"('solicitation', 'referenced')",72,solicitation referenced,['Competitive Bidding Violation']
297,"('bidders', 'would')",72,bidders would,['Competitive Bidding Violation']
298,"('answered', 'mr')",72,answered mr,['Competitive Bidding Violation']
299,"('bidders', 'service')",72,bidders service,['Competitive Bidding Violation']
300,"('bidders', 'choosing')",72,bidders choosing,['Competitive Bidding Violation']
301,"('bidders', 'answered')",72,bidders answered,['Competitive Bidding Violation']
302,"('bid', '”')",72,bid ”,[]
303,"('bid', 'rules')",72,bid rules,['Competitive Bidding Violation']
304,"('upon', 'current')",72,upon current,['Competitive Bidding Violation']
305,"('based', 'upon')",72,based upon,['Competitive Bidding Violation']
306,"('would', 'deemed')",72,would deemed,['Competitive Bidding Violation']
307,"('use', 'effectively')",72,use effectively,['Competitive Bidding Violation']
308,"('assessments', 'components')",72,assessments components,['Competitive Bidding Violation']
309,"('used', 'merely')",72,used merely,['Competitive Bidding Violation']
310,"('used', 'way')",72,used way,['Competitive Bidding Violation']
311,"('valid', 'proposals')",72,valid proposals,['Competitive Bidding Violation']
312,"('way', 'evaluate')",72,way evaluate,['Competitive Bidding Violation']
313,"('bidders', 'submit')",72,bidders submit,['Competitive Bidding Violation']
314,"('therefore', 'required')",72,therefore required,['Competitive Bidding Violation']
315,"('deemed', 'essential')",72,deemed essential,['Competitive Bidding Violation']
316,"('bids', 'determined')",72,bids determined,['Competitive Bidding Violation']
317,"('sought', 'instance')",72,sought instance,['Competitive Bidding Violation']
318,"('specific', 'instructions')",72,specific instructions,['Competitive Bidding Violation']
319,"('stand', 'alone')",72,stand alone,['Competitive Bidding Violation']
320,"('created', 'years')",72,created years,['Competitive Bidding Violation']
321,"('could', 'provide')",72,could provide,['Competitive Bidding Violation']
322,"('stated', 'rfp')",72,stated rfp,['Competitive Bidding Violation']
323,"('congress', '“intended')",72,congress “intended,[]
324,"('conduct', 'internal')",72,conduct internal,['Competitive Bidding Violation']
325,"('components', 'necessary')",72,components necessary,['Competitive Bidding Violation']
326,"('alone', 'solicitation')",72,alone solicitation,['Competitive Bidding Violation']
327,"('submit', 'accurate')",72,submit accurate,['Competitive Bidding Violation']
328,"('competing', 'providers')",72,competing providers,['Competitive Bidding Violation']
329,"('submit', 'complete')",72,submit complete,['Competitive Bidding Violation']
330,"('changes', 'free')",72,changes free,['Competitive Bidding Violation']
331,"('submitting', 'accurate')",72,submitting accurate,['Competitive Bidding Violation']
332,"('choosing', 'winning')",72,choosing winning,['Competitive Bidding Violation']
333,"('merely', 'guideline')",72,merely guideline,['Competitive Bidding Violation']
334,"('questions', 'prospective')",72,questions prospective,['Competitive Bidding Violation']
335,"('instance', 'stated')",72,instance stated,['Competitive Bidding Violation']
336,"('fcc', 'forms')",72,fcc forms,['Competitive Bidding Violation']
337,"('part', 'schools')",72,part schools,['Competitive Bidding Violation']
338,"('2', 'submit')",72,2 submit,['Competitive Bidding Violation']
339,"('fcc’s', 'requirements')",72,fcc’s requirements,[]
340,"('fcc’s', 'ysleta')",72,fcc’s ysleta,[]
341,"('meaning', '“bona')",72,meaning “bona,[]
342,"('fide', 'requests')",72,fide requests,['Competitive Bidding Violation']
343,"('fide”', 'universal')",72,fide” universal,[]
344,"('process', 'funding')",72,process funding,['Competitive Bidding Violation']
345,"('malavé', 'rfp')",72,malavé rfp,[]
346,"('make', 'pertinent')",72,make pertinent,['Competitive Bidding Violation']
347,"('forms', '470')",72,forms 470,['Competitive Bidding Violation']
348,"('order', '2')",72,order 2,['Competitive Bidding Violation']
349,"('order', 'applicant’s')",72,order applicant’s,[]
350,"('instructions', 'prospective')",72,instructions prospective,['Competitive Bidding Violation']
351,"('free', 'services')",72,free services,['Competitive Bidding Violation']
352,"('providers', 'provide')",72,providers provide,"['Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation']"
353,"('libraries', '”')",72,libraries ”,[]
354,"('providers', 'could')",72,providers could,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
355,"('internal', 'assessments')",72,internal assessments,['Competitive Bidding Violation']
356,"('provider', 'selected')",72,provider selected,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor']"
357,"('per', 'fcc’s')",72,per fcc’s,[]
358,"('provide', 'pertinent')",72,provide pertinent,['Competitive Bidding Violation']
359,"('order', 'stated')",72,order stated,['Competitive Bidding Violation']
360,"('proposals', 'failed')",72,proposals failed,['Competitive Bidding Violation']
361,"('fcc', 'elaborated')",72,fcc elaborated,['Competitive Bidding Violation']
362,"('guideline', 'services')",72,guideline services,['Competitive Bidding Violation']
363,"('requests', 'service')",72,requests service,['Competitive Bidding Violation']
364,"('evaluate', 'prospective')",72,evaluate prospective,['Competitive Bidding Violation']
365,"('must', 'detail')",72,must detail,['Competitive Bidding Violation']
366,"('needs', 'failed')",72,needs failed,['Competitive Bidding Violation']
367,"('rfp', 'posted')",72,rfp posted,['Competitive Bidding Violation']
368,"('posted', 'fy2016')",72,posted fy2016,['Competitive Bidding Violation']
369,"('must', 'based')",72,must based,['Competitive Bidding Violation']
370,"('information', 'available')",72,information available,['Competitive Bidding Violation']
371,"('requirements', 'fair')",72,requirements fair,['Competitive Bidding Violation']
372,"('needs', 'must')",72,needs must,['Competitive Bidding Violation']
373,"('required', '“')",72,required “,[]
374,"('required', 'questions')",72,required questions,['Competitive Bidding Violation']
